q0,qn,qpof,qdpo,p0,pmin,alpha,beta,resistiance,viscosity,diffusion,R,r ,themal,rotation,growth
0.6,2.5,0.78,5,0.99,0.00000001,0.25,0.16,0,0.000001,0.000001,4,1,0.000001,0.2,0.0076
0.81,2.7,1,4,0,0,0,0,0.00001,0.00001,0.000001,4,1,0.000001,0.2,0.01031
0.81,2.7,1,4,0,0,0,0,0.00001,0.000001,0.000001,4,1,0.000001,0.2,0.01232
0.81,2.7,1,4,0,0,0,0,0.00001,0.000001,0.000001,4,1,0.000001,0.2,0.01256
0.81,2.7,1,4,0,0,0,0,0.00001,0.000001,0.000001,4,1,0.0001,0.2,0.006165
0.81,2.7,1,4,0,0,0,0,0.00001,0.000001,0.000001,4,1,0.00001,0.2,0.00617
0.81,2.7,1,4,0,0,0,0,0.00001,0.000001,0.000001,4,1,0.0000001,0.2,0.006165
0.81,2.7,1,4,0,0,0,0,0.00001,0.000001,0.000001,4,1,0.000002,0.2,0.00617
0.81,2.7,1,4,0,0,0,0,0.00001,0.000001,0.000001,4,1,0.00003,0.2,0.00618
0.81,2.7,1,4,0,0,0,0,0.00001,0.000001,0.000001,4,1,0.000003,0.2,0.00619
0.81,2.7,1,4,0,0,0,0,0.00001,0.00001,0.000001,4,1,0.0001,0.2,0.005148
0.81,2.7,1,4,0,0,0,0,0.00001,0.00001,0.000001,4,1,0.00001,0.2,0.005155
0.81,2.7,1,4,0,0,0,0,0.00001,0.00001,0.000001,4,1,0.000003,0.2,0.0051505
0.81,2.7,1,4,0,0,0,0,0.00001,0.00001,0.000001,4,1,0.0000001,0.2,0.005152
0.81,2.7,1,4,0,0,0,0,0.000001,0.000001,0.000001,4,1,0.0001,0.2,0.002383
0.81,2.7,1,4,0,0,0,0,0.000001,0.000001,0.000001,4,1,0.00001,0.2,0.002382
0.81,2.7,1,4,0,0,0,0,0.000001,0.000001,0.000001,4,1,0.0000001,0.2,0.0023755
0.81,2.7,1,4,0,0,0,0,0.000001,0.000001,0.000001,4,1,0.000003,0.2,0.002376
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.00001,0.000001,4,1,0.0001,0,0.00445
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.00001,0.000001,4,1,0.00001,0,0.00483
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.00001,0.000001,4,1,0.000001,0,0.00491
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.00001,0.000001,4,1,0.0000001,0,0.00492
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.000001,0.000001,4,1,0.0001,0,0.00559
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.000001,0.000001,4,1,0.00001,0,0.00598
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.000001,0.000001,4,1,0.000001,0,0.00603
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.000001,0.000001,4,1,0.0000001,0,0.000605
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.0001,0.000001,4,1,0.0001,0,0.0015
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.0001,0.000001,4,1,0.00001,0,0.00194
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.0001,0.000001,4,1,0.000001,0,0.00208
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.0001,0.000001,4,1,0.0000001,0,0.0021
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.0000001,0.000001,4,1,0.0001,0,0.00567
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.0000001,0.000001,4,1,0.00001,0,0.00613
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.0000001,0.000001,4,1,0.000001,0,0.00621
0.81,2.7,1,4,0.6,0,0,0.0455,0.00001,0.0000001,0.000001,4,1,0.0000001,0,0.006214
0.81,2.7,1,4,0.6,0,0,0.0455,0.000001,0.000001,0.000001,4,1,0.0001,0,0.00323
0.81,2.7,1,4,0.6,0,0,0.0455,0.000001,0.000001,0.000001,4,1,0.00001,0,0.0037
0.81,2.7,1,4,0.6,0,0,0.0455,0.000001,0.000001,0.000001,4,1,0.000001,0,0.00372
0.81,2.7,1,4,0.6,0,0,0.0455,0.000001,0.000001,0.000001,4,1,0.0000001,0,0.00373
0.81,2.7,1,4,0.6,0,0,0.0455,0.000001,0.00001,0.000001,4,1,0.0001,0,0.00204
0.81,2.7,1,4,0.6,0,0,0.0455,0.000001,0.00001,0.000001,4,1,0.00001,0,0.00237
0.81,2.7,1,4,0.6,0,0,0.0455,0.000001,0.00001,0.000001,4,1,0.000001,0,0.00247
0.81,2.7,1,4,0.6,0,0,0.0455,0.000001,0.00001,0.000001,4,1,0.0000001,0,0.0024795
